Document,Figure Count
2502.14989v1.pdf,14
2502.15050v1.pdf,9
2502.15057v1.pdf,13
2502.15114v1.pdf,17
2502.15299v1.pdf,23
2502.15554v1.pdf,14
2502.15569v1.pdf,11
2502.15581v1.pdf,30
2502.15638v1.pdf,16
2502.15640v1.pdf,12
